x,y_smooth
287,6569.7742911906935
288,6557.999697305113
289,6577.273332659766
290,6605.702048228323
291,6662.869034405288
292,6719.329532841364
293,6732.338411864668
294,6735.5548380577875
295,6710.526485722003
296,6689.281808091091
297,6694.585309251415
298,6670.413177276847
299,6646.296841891923
300,6594.0820300666865
301,6536.960548884168
302,6502.890828371612
303,6409.0019170609585
304,6347.38855816681
305,6270.592876600885
306,6199.886792451969
307,6139.565936837003
308,6119.437897284994
309,6139.49379477263
310,6139.9267480568615
311,6115.629401674057
312,6097.973262031239
313,6076.164362828335
314,6057.654323478122
315,6059.56523055107
316,6009.851780848725
317,5959.12541620339
318,5928.970033295513
319,5894.250529713639
320,5863.476743012
321,5855.981132074659
322,5834.141862576124
323,5778.087478558374
324,5749.403793763705
325,5761.055191200896
326,5751.684794671786
327,5785.287155684799
328,5761.879628694588
329,5772.219554030072
