x,y_smooth
171,5377.665624053334
172,5391.704974270262
173,5379.938654020037
174,5384.358692361274
175,5390.081828270869
176,5365.730804156254
177,5357.42609222002
178,5312.710422761849
179,5291.1886792445475
180,5256.231762687192
181,5234.130461103097
182,5175.934819896364
183,5143.269296740281
184,5079.230249217335
185,5029.388961758961
186,4986.351225909912
187,4973.88870951399
188,4956.0232065375
189,4928.693774593201
190,4904.494601956738
191,4907.924124709236
192,4885.892039147741
193,4880.1936232462185
194,4900.229442033423
195,4940.115830894279
196,4951.034708908604
197,4966.577136514294
198,4991.835233578158
199,5032.01271314631
200,5078.219352234186
201,5110.2803955194195
202,5110.602461910298
203,5079.982948238623
204,5026.965997375954
205,4951.918978911632
206,4896.223791745863
207,4860.141358086299
208,4844.560185651633
209,4846.281908989337
210,4826.630915144118
211,4786.8145494898
212,4795.44697810447
213,4802.643527393137
214,4799.071536675753
215,4783.787710623896
216,4736.707395822165
217,4685.229643829437
218,4644.695691655091
219,4591.123196447754
220,4521.43951165309
221,4476.678135404484
222,4418.556250629998
223,4360.508929471697
224,4318.510947431547
225,4253.0169508620875
226,4209.84673594937
227,4177.363636363057
228,4112.545959034845
229,4051.4999495504408
230,3974.8959741695617
231,3917.894057107719
232,3798.866511955884
233,3695.4368883054085
234,3594.243870446478
235,3527.250428815976
236,3496.18504691708
237,3516.558571283942
238,3499.903339723053
239,3503.0368277666407
240,3470.6228433049355
241,3454.3875491872905
242,3468.1087680350342
243,3479.4158006250836
244,3478.1970537781467
245,3459.9620623544783
246,3449.2013923918116
247,3435.557764100017
248,3452.8974876395164
249,3496.7944707895454
250,3545.784078296349
251,3584.827868024928
252,3590.677630914646
253,3593.8626778322114
254,3587.251538693882
255,3554.80597316064
256,3513.6733931989875
257,3509.9474321456123
258,3518.1343961250286
259,3509.614872363552
260,3500.3045101397624
261,3510.4129754813002
262,3521.6301079603622
263,3547.25355665373
264,3567.4243769544037
265,3562.0662899803347
266,3547.7833720104036
267,3519.808596508441
268,3473.522853394735
269,3451.559075773913
270,3424.2036121476426
271,3375.0700232060694
272,3318.747654121222
273,3270.163454746796
274,3226.781454948598
275,3207.7025527187548
276,3218.4189284628756
277,3201.6920593275745
278,3196.0197760060128
279,3181.9509635753825
280,3159.7110281501004
281,3135.162243970909
282,3129.430935323952
283,3119.7144586818386
284,3091.1557864994193
285,3109.0250227016163
286,3118.1234991419337
287,3148.635354656005
288,3149.905963070897
289,3152.2586015533907
290,3160.0961557860605
291,3209.6329331041848
292,3265.9337100187167
293,3300.8934517198522
294,3328.9063666628413
295,3338.0824336591068
296,3376.903238825078
297,3433.4440520628877
298,3465.6729896070256
299,3514.2347896271986
300,3573.925839975289
301,3606.185854101002
302,3613.67036625921
303,3626.691252143579
304,3626.826859045001
305,3615.536676419637
306,3598.4282110780996
307,3574.8065785485896
308,3598.3770557960897
309,3637.9311875688622
310,3653.674402178889
311,3672.665119563611
312,3679.8085965084188
313,3708.830693168691
314,3710.2246998279584
315,3716.6183028952555
316,3689.3982443744244
317,3666.6503884567605
318,3642.9004136812623
319,3608.854101502878
320,3580.3026939758925
321,3567.515386943304
322,3542.51316718748
323,3493.7156694576915
324,3472.44496014481
325,3447.7288870946677
326,3444.9439007158967
