smiles,score
[C@@]1(C2CC2)([C@@H](CN(Cc2cc(C(F)(F)F)ccc2F)CC1)C)O,-7.7
n1c([nH]c(=O)cc1[C@@H]1C[C@H](NC(=O)CCCn2ncnc2)C1)C1CC1,-7.9
c1(cn(nc1)C(C)C)c1nc2c(c(C(=O)N3CCCCC3)c1)ccc(c2)C,-7.6
c12c(nc3n1cc(n3CCOC)C)n(c(=O)n(c2=O)CCCC)C,-7.2
N(C(=S)Nc1cc(c(cc1)C)F)C(=O)c1cc(c(cc1)OC)I,-7.7
n1(c(nc2c1cccc2)C)CC(COc1ccc(OCC(Cn2c(nc3c2cccc3)C)O)cc1)O,-8.1
S(=O)(=O)(N(c1cc(cc(c1)C)C)CC(=O)Nc1cc2c(OCO2)cc1)c1cc(c(cc1)OC)OC,-8.8
C(=O)(Nc1cc(N2CCOCC2)ccc1Cl)NC(Cc1[nH]nc(c1)C)C,-8.5
C(=O)(N1CCN(CC1)CCSC)c1cnc(nc1)C1CC1,-6.6
n1c(noc1C(C)C)c1ccc(C(=O)NC[C@H]2NC[C@H](C2)F)cc1,-8.5
[N+](=O)(c1c(Oc2cc(C(=O)OC(C)C)ccc2)c(Cl)ccc1)[O-],-7.4
c1(c(c([nH]n1)N)Cl)C(=O)NCC1(CCN(CC1)CC)N(C)C,-7.3
c12c(CN3CCC(C(=O)OCC)(CC3)CCOc3ccccc3)cccc1non2,-8.7
C(=S)(N(/N=C\c1ccccc1)Cc1ccccc1)NC,-10.2
S(=O)(=O)(c1c(cc(cc1)C)OCCC)Nc1nccc(c1)C,-6.7
n1c([nH]c2c1c(c(cc2)C)C)SCc1c(F)cccc1,-7.7
C(=O)(N([C@H]1[C@@H](O)CCCC1)C)c1cc(C(F)(F)F)ccc1C,-7.0
N1(C(=O)c2cc(S(=O)(=O)C)ccc2)[C@H](C(=O)NC(C)C)C[C@@H](C1)N,-7.6
[N+](=O)(c1ccc(OCC(=O)Nc2c(NC(=O)c3occc3)ccc(c2)OC)cc1)[O-],-7.8
n1nn(c(n1)C)CCC(=O)NC([C@@H]1C[C@H](C1)O)c1cnc(cc1)OC,-7.5
N1(C(=O)C2C(C1=O)CC=CC2)CCC(=O)Nc1c(SC)cccc1,-6.8
N1(c2c(OCC1=O)cccn2)Cc1nnc(o1)CC,-7.5
C1(=C(NC2=C(C1c1cc(F)ccc1)C(=O)CC(C2)(C)C)C)C(=O)OC,-7.4
c1(C(=O)Nc2cc(OCCOC)ccc2)c(cc(cc1)Cl)Cl,-7.3
N1(C(=O)c2cc(C(F)(F)F)ccc2)C(c2noc(c2)C)CCC1,-8.8
N1(C(=O)C2C(C1=O)C1C3(C2C=C1)CC3)/N=C/c1oc(c2cc(C(F)(F)F)ccc2Cl)cc1,-8.6
c1(c(c2c(s1)CCCC2)C(=O)OCC)NC(=O)CCSc1ccccc1,-7.0
c12c([nH]cn1)ncnc2NCCC(=O)N1CCN(CC1)c1ccccc1,-8.5
